Mean,Stdev,TERM1,TERM2,CUI1,CUI2
984.75,226.827945074382,avitaminosi,inedia,C0376286,C0038187
388.75,122.56528872401,micosi,metilprednisolone,C0026946,C0025815
1126,188.19316317727,poliartrite,artralgia,C0162323,C0003862
861.5,404.44653540363,cardiomiopatia,stenocardia,C0878544,C0002962
498,263.883812816676,cirrosi,sinvinolina,C1623038,C0074554
1134.5,281.365124586068,fame,inedia,C0020175,C0038187
710.75,367.266819446934,ipotiroidismo,comatoso,C0020676,C0009421
919,395.563732749435,influenza,amantadina,C0021400,C0002403
1067,121.427619043884,paracetamolo,ibuprofene,C0000970,C0020740
252,187.408644411084,iperossia,anossemia,C0242706,C0003129
837.5,414.870662576503,ischemia,isosorbide,C0022116,C0022251
228,169.085777048219,anovulazione,torcicollo,C0003128,C0040485
789.5,511.766548340159,tubercolosi,emottisi,C0041296,C0019079
788.5,458.662911806336,fibrillazione,stenocardia,C0232197,C0002962
948.75,484.420186064399,ipotiroidismo,stanchezza,C0020676,C0849970
960.5,484.121541213223,sifilide,demenza,C0039128,C0497327
940,502.892301260088,carboplatino,ondansetrone,C0079083,C0061851
395,441.461965141581,sbavare,brividi,C0013132,C0085593
333.25,172.467146629921,artrite,sforzo insufficiente,C0003864,C0231236
1066,201.872897305871,diabete,poliuria,C0011847,C0032617
908.25,324.850093632945,emottisi,ematemesi,C0019079,C0018926
926.5,591.896668909926,proteinuria,lisinopril,C0033687,C0065374
800.75,383.481746632092,sbavare,levodopa,C0013132,C0023570
528.75,378.434824859799,pallore,albumine,C0030232,C0001924
1132.25,291.485133983422,sifilide,gonorrea,C0039128,C0018081
288.5,202.677905390137,cataratta,dolore alla scapola,C0086543,C0231655
836.5,376.708994671838,epilessia,lorazepam,C0014544,C0024002
666.25,307.025921815515,adenite,stridore,C0001416,C0038450
893.5,426.735280941241,pirosi,famotidina,C0018834,C0015620
846.75,260.051757668866,dita ippocratiche,tiotropio,C0149651,C0213771
286,195.708967602407,asma,urolitiasi,C0004096,C0451641
964.75,457.334578472552,tromboembolia,warfarina,C0040038,C0043031
348,170.446472536101,fibrillazione,alitosi,C0232197,C0018520
858,318.154050736432,glomerulosclerosi,proteinuria,C0178664,C0033687
775.25,445.784234056492,nocturia,diabete,C0028734,C0011847
190.75,158.352718111605,attacchi,calamina,C0036572,C0357929
870.25,380.816994543748,dolore alla scapola,metatarsalgia,C0231655,C0025587
1142.25,38.9476143899298,allopurinolo,colchicina,C0002144,C0009262
774.25,342.136790382638,emocromatosi,artralgia,C0018995,C0003862
1193,137.057165688871,amantadina,oseltamivir,C0002403,C0874161
1030,596.607632088852,meningite,ceftriaxone,C0025289,C0007561
853.75,402.58446318754,miosite,atorvastatina,C0027121,C0286651
623.25,347.884439625191,pneumonite,cianosi,C0032285,C0010520
728.5,421.945099114407,tromboembolia,sincope,C0040038,C0039070
219.5,142.479238253625,linguaggio disorganizzato,nitroglicerina,C0009090,C0017887
306.5,107.012460333676,trombocitopenia,artrite,C0040034,C0003864
639.5,367.610754285925,sincope,atenololo,C0039070,C0004147
840.5,455.276106701563,tremore,levodopa,C0040822,C0023570
404.25,242.182266072477,epilessia,anosmia,C0014544,C0003126
637.5,279.615807850701,agitazione,tiroxina,C0085631,C0040165
574,388.891587292225,anovulazione,emaciamento,C0003128,C0013911
468.5,275.364606779206,eritema,fenitoina,C0041834,C0031507
547,459.806481033054,disidratazione,candidiasi,C0011175,C0006840
251.25,148.827360835746,rantoli,iperacusia,C0034642,C0034880
214.75,139.186625315318,cortisone,adenosina,C0010137,C0001443
879.5,418.639463022778,cefalee,paracetamolo,C0018681,C0000970
769,402.535298659219,artrite,metatarsalgia,C0003864,C0025587
316,201.26764932961,eritema,tremore,C0041834,C0040822
860,440.868083066428,obesità,russare,C0028754,C0037384
1052.25,132.555334357644,dispnea,cianosi,C0013404,C0010520
621.25,326.388699763539,uremia,nausea,C0041948,C0027497
964.75,164.402706790369,prostatismo,prostatorrea,C0242453,C0392071
505.25,325.227484488422,emoglobinopatie,dolore,C0019045,C0030193
922.25,460.160388705214,comatoso,iperglicemia,C0009421,C0020456
956.25,171.468899026422,debolezza,emaciamento,C3714552,C0013911
819,529.96100485476,assetato,fame,C0232471,C0020175
1075.5,220.951729268333,dispnea,tiotropio,C0013404,C0213771
531.75,170.802761492118,dislipidemia,tpa,C0242339,C0032143
416.25,162.046032554539,leucopenia,penicillina,C0023530,C0030842
864.5,480.303723352908,meningite,meningismo,C0025289,C0025287
368,231.045450074222,debolezza,glucagone,C3714552,C0017687
193,123.299094346498,costipazione,verapamil,C0009806,C0042523
817.25,391.003303481356,fibrillazione,atenololo,C0232197,C0004147
324.75,243.176719006295,gozzo,vasculiti,C0018021,C0042384
353.75,240.483367408226,nocturia,estetica,C0028734,C0004899
493.75,194.939948018187,ipertiroidismo,osteoporosi,C0020550,C0029456
809.5,594.001402916413,dislipidemia,iperlipidemia,C0242339,C0020473
955,156.794982912932,pallore,sbiancamento,C0030232,C0948786
193.25,120.128750375032,voriconazolo,fluossetina,C0393080,C0016365
544,419.838064019927,emottisi,protamine,C0019079,C0033603
807.5,396.400891354531,mastodinia,otalgia,C0024902,C0013456
742,269.447583028685,rantoli,frusemide,C0034642,C0016860
623.75,337.375532604248,anemia,warfarina,C0002871,C0043031
1533.5,103.319891598859,levodopa,carbidopa,C0023570,C0006982
695,418.657377816276,dermatite,aloe vera,C0011603,C0995182
388.5,226.945661631443,coccidiosi,metilprednisolone,C0009187,C0025815
1055.25,346.391276833968,stanchezza,ipersonnolenza,C0849970,C0751229
993.25,163.122397808108,poliuria,chetonuria,C0032617,C0162275
255.5,202.277861698539,odontalgia,atassia,C0040460,C0004134
223,114.58621208505,mannitolo,paracetamolo,C0024730,C0000970
567,442.579559702735,otite,meningismo,C0029877,C0025287
317.5,62.1905673447884,clono,amfebutamone,C0009024,C0085208
539.5,404.677237643368,anemia,clopidogrel,C0002871,C0070166
809.5,224.399197859529,oli di pesce,sinvinolina,C0016157,C0074554
680.25,481.247943718551,nocturia,etanolo,C0028734,C0001962
682,504.652355587488,debolezza,cortisone,C3714552,C0010137
318.5,97.1545161070755,dislipidemia,costipazione,C0242339,C0009806
271.5,176.182670354758,micosi,prostatismo,C0026946,C0242453
223.5,191.287741374088,demenza,aloe vera,C0497327,C0995182
229.5,155.697356004097,dissenteria,esmololo,C0013369,C0116569
278.5,248.406253276093,peste,caffeina,C0032064,C0006644
239,187.193304723575,rabbia,sulfadiazina argentica,C0034494,C0947651
898.5,434.648133551727,influenza,pneumonite,C0021400,C0032285
417.25,270.072058285685,rabbia,sindrome testa-viso-collo,C0034494,C0234990
286.25,173.853146841427,clopidogrel,insulina,C0070166,C0021641
152.75,91.6383289531915,giardiasi,manierismo,C0017536,C0233576
169.5,111.900253201977,psoriasi,aterosclerosi,C0033860,C0004153
318.75,325.27052843236,propanololo,mupirocina,C0033497,C0085259
224.75,226.986600191876,odontalgia,terazosina,C0040460,C0076107
1019.5,19.485036994234,dermatomiosite,miopatia,C0011633,C0026848
319,198.351539780596,inedia,cisplatino,C0038187,C0008838
1099.5,104.430199974273,anovulazione,amenorrea,C0003128,C0002453
933.25,312.935962565293,agranulocitosi,anemia,C0001824,C0002871
1104,99.3210283206264,torcicollo,spasmo,C0040485,C0037763
233.75,223.508948366726,stanchezza,verapamil,C0849970,C0042523
227,148.985457903336,calamina,bleomicina,C0357929,C0005740
212.25,161.433939017378,emocromatosi,mebendazolo,C0018995,C0025023
326.25,177.946387057076,anovulazione,carbidopa,C0003128,C0006982
261.25,248.632761316766,iperestensione articolare,estetica,C0231451,C0004899
949.5,207.779530592725,albuterolo,salmeterol,C0001927,C0073992
724.25,347.987906878002,artrite,amiloidosi,C0003864,C0002726
456.5,141.413106417569,cianosi,adrenalina,C0010520,C0014563
1247.25,121.585018265684,famotidina,ranitidina,C0015620,C0034665
506.75,460.022734945423,epilessia,ischemia,C0014544,C0022116
1168.75,183.496366903181,mal d'auto,nausea,C0007297,C0027497
764.5,403.789961902637,fibrillazione,cardiomiopatie,C0232197,C0878544
997.25,510.076056420347,zoonosi,peste,C0043528,C0032064
713.5,319.75980568754,meningismo,acyclovir,C0025287,C0001367
781.5,411.010543254874,aborto spontaneo,listeriosi,C0000786,C0023860
593.25,297.253399195591,dispnea,agitazione,C0013404,C0085631
1052.5,145.889227383884,encefalite,cefalee,C0014038,C0018681
329.25,160.290101586675,epilessia,actonel,C0014544,C0246719
